Sample number,Production area,Bed ID,Local authority,"Grid reference

Note 1             ",Sampling point,Date sample collected,"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Ligulodinium polyedrum 
cells L-1
(Yessotoxin)","Protoceratium reticulatum 
cells L-1
(Yessotoxin) ","Prorocentrum cordatum 
cells L-1
(Venerupin) "
239/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,26/04/2021,0,0,0,5600,0,0,0
241/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,26/04/2021,0,0,0,4280,0,0,0
242/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,27/04/2021,0,80,0,3960,0,0,0
243/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,27/04/2021,0,0,0,0,0,0,0
244/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,27/04/2021,0,0,0,8100,0,0,0
245/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,27/04/2021,0,0,0,10300,0,0,0
246/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,27/04/2021,0,0,0,3000,0,0,0
247/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,27/04/2021,0,0,0,0,0,0,0
248/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,26/04/2021,0,0,0,1480,0,0,0
249/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,27/04/2021,0,40,0,720,0,0,0
250/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,27/04/2021,0,0,0,400,0,0,0
251/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,28/04/2021,0,0,0,2080,0,0,0
252/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,27/04/2021,0,0,0,8600,0,0,0
253/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,28/04/2021,0,0,0,0,0,0,0
254/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,28/04/2021,0,0,0,0,0,0,0
255/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,28/04/2021,100,0,0,185500,0,0,0
256/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,28/04/2021,0,0,0,60900,0,0,0
257/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,28/04/2021,0,0,0,0,0,0,40
258/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,28/04/2021,0,0,0,0,0,0,0
259/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,28/04/2021,0,0,0,0,720,0,0
260/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,29/04/2021,0,0,0,1800,0,0,0
261/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,04/05/2021,0,0,0,200,300,0,200
262/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,04/05/2021,0,0,0,0,0,0,100
263/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,04/05/2021,100,0,0,0,0,0,0
264/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,04/05/2021,0,0,0,6280,0,0,0
265/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,04/05/2021,0,0,0,4600,0,0,0
266/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,04/05/2021,0,0,0,0,0,0,0
267/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,04/05/2021,0,0,0,2900,0,0,0
268/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,04/05/2021,0,0,0,400,0,0,0
270/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,05/05/2021,0,0,0,1900,0,0,0
271/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,05/05/2021,0,0,0,2000,0,0,0
272/21,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,05/05/2021,0,0,0,1840,0,0,0
273/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,05/05/2021,0,80,0,2280,0,0,0
274/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,05/05/2021,0,0,0,7080,0,0,0
275/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,05/05/2021,0,0,0,0,0,0,0
276/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,05/05/2021,0,0,0,80,0,0,0
277/21,The Wash,B003V,Boston BC,TF44234098,Toft,10/05/2021,0,0,0,0,0,0,0
278/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,10/05/2021,0,0,0,0,0,0,0
279/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,10/05/2021,200,0,0,1000,0,0,0
280/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,10/05/2021,0,0,0,0,0,0,0
281/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,10/05/2021,0,0,0,13080,0,0,0
282/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,10/05/2021,0,0,0,17400,0,0,0
283/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,10/05/2021,0,0,0,13720,0,0,0
284/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,10/05/2021,0,0,0,0,0,0,0
285/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,10/05/2021,0,0,0,80,0,0,0
286/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,10/05/2021,0,0,0,400,0,0,40
287/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,10/05/2021,0,0,0,200,0,0,0
288/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,11/05/2021,0,0,0,11300,0,0,0
289/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,11/05/2021,0,0,40,0,0,0,0
290/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,11/05/2021,0,0,0,240,0,0,0
291/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,11/05/2021,0,0,0,8300,0,0,0
292/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,11/05/2021,0,0,0,2100,0,0,0
293/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,11/05/2021,0,0,40,360,0,0,0
294/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,11/05/2021,0,0,0,800,0,0,0
295/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,11/05/2021,0,0,0,0,0,0,0
296/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,11/05/2021,0,0,0,0,0,0,0
297/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,11/05/2021,0,0,0,1200,0,0,0
298/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,11/05/2021,0,0,0,4800,0,0,0
299/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,11/05/2021,0,0,0,0,0,0,0
300/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,12/05/2021,0,0,0,1120,0,0,0
301/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,12/05/2021,0,0,0,0,0,0,0
302/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,11/05/2021,0,0,0,66400,0,0,200
303/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,12/05/2021,0,0,0,0,0,0,0
304/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,12/05/2021,0,0,0,400,0,0,0
305/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,12/05/2021,0,0,0,152900,0,0,100
306/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,12/05/2021,0,0,0,71400,0,0,0
307/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,13/05/2021,0,0,0,800,0,0,0
308/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,12/05/2021,100,0,0,0,0,0,0
309/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,17/05/2021,0,0,0,13520,0,0,0
310/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,17/05/2021,0,0,0,42120,0,0,0
311/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,17/05/2021,0,40,0,38520,0,0,0
312/21,Portland,B25AK,Dorset Council,SY68707757,Site A,17/05/2021,0,0,0,800,0,0,0
313/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,17/05/2021,40,0,0,1640,0,0,80
314/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,17/05/2021,0,0,0,1300,0,0,0
315/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,18/05/2021,0,0,0,6440,0,0,280
316/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,18/05/2021,0,0,0,4800,0,0,160
317/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,18/05/2021,0,0,0,3280,0,0,80
318/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,17/05/2021,0,0,0,0,0,0,0
319/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,18/05/2021,0,0,0,2000,0,0,0
320/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,18/05/2021,0,0,0,400,0,0,0
321/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,18/05/2021,0,0,0,1900,0,0,0
322/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,18/05/2021,0,40,0,13680,0,0,0
323/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,18/05/2021,0,0,0,252000,0,0,0
324/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,19/05/2021,0,0,0,18400,0,0,0
325/21,Swale,B076P,Swale BC,TR01316497,The Causeway,19/05/2021,0,0,0,1800,0,0,0
326/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,19/05/2021,0,0,0,0,0,0,0
328/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,24/05/2021,0,0,0,1600,0,0,0
330/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,24/05/2021,0,0,0,8000,0,0,0
331/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,24/05/2021,0,0,0,1300,0,0,0
332/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,24/05/2021,0,0,0,0,0,0,0
333/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,24/05/2021,0,0,0,0,0,0,0
334/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,24/05/2021,0,0,0,1360,0,0,0
335/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,25/05/2021,0,0,0,0,0,0,0
336/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,24/05/2021,0,0,0,0,0,0,0
337/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,25/05/2021,0,0,0,5800,0,0,0
338/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,25/05/2021,0,0,0,760,0,0,0
339/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,24/05/2021,0,0,0,0,0,0,0
340/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,24/05/2021,0,0,0,0,0,0,0
341/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,26/05/2021,0,0,0,7560,0,0,0
342/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,26/05/2021,0,0,0,27800,0,0,0
343/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,26/05/2021,0,0,0,3200,0,0,100
344/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,26/05/2021,0,0,0,1300,0,0,0
345/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,26/05/2021,0,0,0,600,0,0,0
346/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,26/05/2021,0,0,0,1600,0,0,0
347/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,26/05/2021,0,0,0,3800,0,0,0
348/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,26/05/2021,0,0,0,1800,0,0,0
349/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,26/05/2021,0,0,0,0,0,0,0
350/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,26/05/2021,0,0,0,289400,0,0,0
351/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,26/05/2021,0,0,0,68760,0,0,0
352/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,26/05/2021,0,0,0,0,0,0,0
353/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,26/05/2021,0,160,0,15280,0,0,0
354/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,25/05/2021,40,160,0,23000,0,0,0
355/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,27/05/2021,0,0,0,0,0,0,0
356/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,27/05/2021,0,0,0,34600,0,0,0
357/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,27/05/2021,0,0,0,60000,0,0,0
358/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,27/05/2021,0,0,0,43000,0,0,0
359/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,01/06/2021,0,0,0,6640,0,0,200
360/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,01/06/2021,0,0,0,8800,0,0,0
361/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,01/06/2021,0,40,0,16600,0,0,0
362/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,01/06/2021,120,520,0,17120,0,0,0
363/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,01/06/2021,0,240,0,6320,0,0,240
364/21,Portland,B25AK,Dorset Council,SY68707757,Site A,01/06/2021,0,0,0,560,0,0,0
365/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,01/06/2021,0,0,0,48400,0,0,200
366/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,01/06/2021,0,0,0,1100,0,0,0
367/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,01/06/2021,80,160,0,252000,0,0,40
368/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,31/05/2021,0,240,0,162000,0,0,0
369/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,01/06/2021,0,0,0,24600,0,0,0
370/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,02/06/2021,0,0,0,4200,0,0,0
371/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,02/06/2021,40,0,40,8920,0,0,40
372/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,02/06/2021,320,320,0,16320,0,0,0
373/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,03/06/2021,0,0,0,600,0,0,0
374/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,03/06/2021,0,0,0,0,0,0,0
375/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,07/06/2021,0,200,0,1680,0,0,0
376/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,07/06/2021,0,280,0,520,0,0,0
377/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,07/06/2021,0,0,0,840,0,0,0
378/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,07/06/2021,0,0,0,220,0,0,0
379/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,07/06/2021,0,0,0,2840,0,0,0
380/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,07/06/2021,40,0,0,1240,0,0,0
381/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,06/06/2021,0,0,0,0,0,0,0
382/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,07/06/2021,0,0,0,320,0,0,0
383/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,07/06/2021,0,0,0,3080,0,0,40
384/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,08/06/2021,0,0,0,0,0,0,0
385/21,The Wash,B003V,Boston BC,TF44234098,Toft,07/06/2021,0,0,0,15100,0,0,100
386/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,08/06/2021,0,0,0,52700,0,0,0
387/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,07/06/2021,0,0,0,0,0,0,0
388/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,08/06/2021,0,0,0,0,0,0,0
389/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,08/06/2021,0,0,0,960,0,0,0
390/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,07/06/2021,0,0,0,4700,0,0,0
391/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,07/06/2021,0,0,0,0,0,0,0
392/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,07/06/2021,0,80,0,11560,0,0,0
393/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,07/06/2021,0,80,0,45440,0,0,0
394/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,09/06/2021,0,0,0,960,0,0,0
395/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,09/06/2021,0,0,0,3520,0,0,0
396/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,09/06/2021,0,0,0,52200,0,0,0
397/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,09/06/2021,0,0,0,400,0,0,0
398/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,09/06/2021,0,40,0,19240,0,0,200
399/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,09/06/2021,0,0,0,11000,0,0,0
400/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,09/06/2021,0,0,0,13600,0,0,0
401/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,09/06/2021,40,0,0,19360,0,0,0
402/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,09/06/2021,0,0,0,0,0,0,240
403/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,10/06/2021,0,0,0,0,0,0,0
404/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,14/06/2021,0,0,0,720,0,0,0
405/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,14/06/2021,0,0,40,40,0,0,0
406/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,14/06/2021,0,40,0,560,0,0,0
407/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,14/06/2021,200,280,0,2400,0,0,0
408/21,Portland,B25AM,Dorset Council,SY68707757,Site A,14/06/2021,0,0,0,2720,0,0,0
409/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,13/06/2021,0,0,0,7200,0,0,0
410/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,14/06/2021,0,400,0,800,0,0,0
411/21,Swale,B076P,Swale BC,TR01316497,The Causeway,14/06/2021,0,0,0,0,0,0,0
412/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,14/06/2021,0,40,0,1560,40,0,0
413/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,15/06/2021,0,0,0,24900,0,0,0
414/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,15/06/2021,0,0,0,0,0,0,0
415/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,15/06/2021,0,0,0,0,0,0,200
416/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,15/06/2021,0,0,0,58600,0,0,300
417/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,15/06/2021,0,0,0,753000,0,0,1000
418/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,15/06/2021,0,0,0,1200,0,0,0
419/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,15/06/2021,0,0,0,6880,0,0,0
420/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,16/06/2021,0,0,0,2900,0,0,0
421/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,16/06/2021,0,0,0,3480,0,0,0
422/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,16/06/2021,0,0,0,2200,0,0,0
423/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,16/06/2021,0,80,0,1000,0,0,0
424/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,16/06/2021,40,0,0,118000,0,0,0
425/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,15/06/2021,0,160,0,5480,0,0,0
426/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,15/06/2021,0,0,0,0,0,0,0
428/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,21/06/2021,0,0,0,480,0,0,0
429/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,21/06/2021,0,0,0,0,0,0,0
430/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,21/06/2021,0,200,0,80,0,0,0
431/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,21/06/2021,0,0,0,200,0,0,200
432/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,22/06/2021,0,0,0,160,0,0,0
433/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,21/06/2021,0,0,0,0,0,0,0
434/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,22/06/2021,0,0,0,7120,0,0,0
435/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,20/06/2021,0,0,0,0,0,0,0
436/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,22/06/2021,0,80,0,9360,0,0,0
437/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,23/06/2021,0,0,0,0,0,0,0
438/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,23/06/2021,0,0,0,400,0,0,0
439/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,23/06/2021,0,0,0,1000,0,0,0
440/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,23/06/2021,0,0,0,0,0,0,0
441/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,23/06/2021,0,0,0,0,0,0,0
442/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,23/06/2021,40,0,0,160,0,0,0
443/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,23/06/2021,0,0,0,12760,0,0,0
444/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,23/06/2021,0,0,0,0,0,0,0
445/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,23/06/2021,0,0,0,1000,0,0,280000
446/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,24/06/2021,0,0,0,0,0,0,0
447/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,23/06/2021,0,0,0,1080,0,0,0
448/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,24/06/2021,0,0,0,400,0,0,0
449/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,23/06/2021,0,120,0,11320,0,0,0
450/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,24/06/2021,0,0,0,6480,0,0,0
451/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,24/06/2021,0,0,0,1200,0,0,0
452/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,28/06/2021,0,40,0,0,0,0,0
453/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,28/06/2021,0,200,0,240,0,0,0
454/21,Portland,B25AK,Dorset Council,SY68707757,Site A,28/06/2021,0,0,0,109000,0,0,0
455/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,29/06/2021,0,0,0,0,0,0,0
456/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,29/06/2021,0,0,0,0,0,0,0
457/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,29/06/2021,0,0,0,9000,0,0,0
458/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,29/06/2021,0,0,0,12000,0,0,0
459/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,29/06/2021,0,0,0,13400,0,0,0
460/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,29/06/2021,0,0,0,7680,0,0,0
461/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,30/06/2021,0,0,0,200,0,0,0
462/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,30/06/2021,200,160,0,240,0,0,0
463/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,30/06/2021,40,0,0,0,0,0,0
464/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,30/06/2021,200,400,0,4600,0,0,0
465/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,30/06/2021,40,800,0,2080,0,0,0
466/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,30/06/2021,40,400,0,720,0,0,0
467/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,30/06/2021,40,1360,0,1840,0,0,0
468/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,29/06/2021,0,0,0,0,0,0,0
469/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,30/06/2021,0,200,0,0,0,0,1200
470/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,29/06/2021,0,40,0,1840,0,0,0
471/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,01/07/2021,0,0,0,200,0,0,0
472/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,05/07/2021,0,0,0,0,0,0,0
473/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,05/07/2021,0,0,0,0,0,0,0
474/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,04/07/2021,0,0,0,0,0,0,0
